Gene	GMA2a	GMA2b	GMA2c	GMA2d	GMA2e	GMA3a	GMA3b	GMA3c	GMA3d	GMA3e	GMA4a	GMA4b	GMA4c	GMA4d	GMA4e	GMA2a.1	GMA2b.1	GMA2c.1	GMA2d.1	GMA2e.1	GMA3a.1	GMA3b.1	GMA3c.1	GMA3d.1	GMA3e.1	GMA4a.1	GMA4b.1	GMA4c.1	GMA4d.1	GMA4e.1
Gene	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24
11650 -0.1479525 -0.1273058 -0.4301957 -0.5327588 -0.3006532 -0.2509483 -0.2647718 -0.0475566 -0.0084423 -0.5617567 -0.1082886 -0.2090655 -0.2778028 -0.3215624 -0.3816598 -0.1479525 -0.1273058 -0.4301957 -0.5327588 -0.3006532 -0.2509483 -0.2647718 -0.0475566 -0.0084423 -0.5617567 -0.1082886 -0.2090655 -0.2778028 -0.3215624 -0.3816598
11651 0.81103148 0.57764015 0.63820363 0.85573315 0.79956812 0.51699131 0.82967396 0.8531046 0.81039504 0.82004668 0.90243392 0.70585231 0.76919041 0.7827909 0.75000403 0.81103148 0.57764015 0.63820363 0.85573315 0.79956812 0.51699131 0.82967396 0.8531046 0.81039504 0.82004668 0.90243392 0.70585231 0.76919041 0.7827909 0.75000403
11655 0.74964365 0.79126064 0.80493531 0.76146188 0.85949306 0.78601067 0.86901086 0.85950067 0.77812583 0.79422127 0.83234873 0.85225639 0.81116861 0.73226023 0.90249106 0.74964365 0.79126064 0.80493531 0.76146188 0.85949306 0.78601067 0.86901086 0.85950067 0.77812583 0.79422127 0.83234873 0.85225639 0.81116861 0.73226023 0.90249106
11656 -1.3277536 -1.4673771 -1.2405347 -1.2147839 -1.4237383 -1.2076376 -1.2661289 -1.4311305 -1.1246623 -1.4675049 -1.3840114 -0.8377761 -1.4161788 -1.4580595 -1.4256539 -1.3277536 -1.4673771 -1.2405347 -1.2147839 -1.4237383 -1.2076376 -1.2661289 -1.4311305 -1.1246623 -1.4675049 -1.3840114 -0.8377761 -1.4161788 -1.4580595 -1.4256539
11657 0.79183561 0.57822757 0.78258241 0.93710307 0.75904048 0.66921472 0.45030273 0.56728432 0.89660367 0.89611469 0.65944977 0.64224627 0.46010803 0.72433053 0.62687049 0.79183561 0.57822757 0.78258241 0.93710307 0.75904048 0.66921472 0.45030273 0.56728432 0.89660367 0.89611469 0.65944977 0.64224627 0.46010803 0.72433053 0.62687049
11658 -0.169922288 -0.052325785 -0.147041383 0.000588142 -0.014493678 -0.103311295 -0.26312131 -0.162531415 -0.170645228 -0.281950425 -0.023406778 0.034430953 -0.083790375 -0.072214757 0.110532188 -0.169922288 -0.052325785 -0.147041383 0.000588142 -0.014493678 -0.103311295 -0.26312131 -0.162531415 -0.170645228 -0.281950425 -0.023406778 0.034430953 -0.083790375 -0.072214757 0.110532188
11668 0.46059351 0.366451275 0.36136054 0.46258333 0.44320965 0.458093945 0.302913165 0.355378135 0.313660285 0.38855984 0.285331535 0.30132124 0.28353049 0.43495615 0.263680875 0.46059351 0.366451275 0.36136054 0.46258333 0.44320965 0.458093945 0.302913165 0.355378135 0.313660285 0.38855984 0.285331535 0.30132124 0.28353049 0.43495615 0.263680875
11669 0.04344408 0.14030284 0.16847089 0.01059105 0.21544963 -0.0498795 0.03367863 0.07084469 0.08015816 -0.021192 -0.2103909 0.02724749 0.09966548 0.10829024 0.13260086 0.04344408 0.14030284 0.16847089 0.01059105 0.21544963 -0.0498795 0.03367863 0.07084469 0.08015816 -0.021192 -0.2103909 0.02724749 0.09966548 0.10829024 0.13260086
11676 1.56440038 1.55275321 1.53028695 1.55528198 1.51671135 1.54220016 1.58982352 1.59741168 1.62472745 1.42475294 1.62498951 1.57166234 1.50048553 1.57314285 1.59772192 1.56440038 1.55275321 1.53028695 1.55528198 1.51671135 1.54220016 1.58982352 1.59741168 1.62472745 1.42475294 1.62498951 1.57166234 1.50048553 1.57314285 1.59772192
11684 0.01759858 0.10261903 0.04364216 0.07573273 0.14201165 -0.0277553 0.13507046 0.01233613 0.11727175 0.00365383 0.00559057 0.07608778 0.09009753 0.06080244 0.08402047 0.01759858 0.10261903 0.04364216 0.07573273 0.14201165 -0.0277553 0.13507046 0.01233613 0.11727175 0.00365383 0.00559057 0.07608778 0.09009753 0.06080244 0.08402047
11685 0.53253945 0.50596448 0.50716153 0.54651675 0.64145487 0.41356023 0.51407427 0.37733959 0.32708314 0.56760427 0.44628711 0.53997206 0.45600037 0.39390378 0.55259686 0.53253945 0.50596448 0.50716153 0.54651675 0.64145487 0.41356023 0.51407427 0.37733959 0.32708314 0.56760427 0.44628711 0.53997206 0.45600037 0.39390378 0.55259686
