Gene	AdFA2a	AdFA2b	AdFA2c	AdFA2d	AdFA2e	AdFA3a	AdFA3b	AdFA3c	AdFA3d	AdFA3e	AdFA4a	AdFA4b	AdFA4c	AdFA4d	AdFA4e	AdMA2a	AdMA2b	AdMA2c	AdMA2d	AdMA2e	AdMA3a	AdMA3b	AdMA3c	AdMA3d	AdMA3e	AdMA4a	AdMA4b	AdMA4c	AdMA4d	AdMA4e
11630 -0.67029225 -0.37917306 -0.662221195 -0.23929384 -0.44882945 -0.30025565 -0.465003335 -0.54756108 -0.222254425 -0.1815827 -0.2833751 -0.45066803 0.06481504 -0.27483519 -0.266021425 -0.20187779 -0.328816725 -0.021243055 -0.08086882 0.144127405 -0.048831105 -0.24811569 -0.583067165 -0.15865703 -0.378151245 -0.43901091 -0.39167691 -0.28959229 -0.644159875 -0.07576331
11632 0.13745515 0.21625139 0.37160206 0.25612798 0.09724188 0.26372066 0.27505904 0.13247167 0.16494036 0.26353193 0.0855086 0.35564559 0.01730353 0.18950125 -0.1031756 -0.0116666 0.28526683 0.0054927 -0.128182 0.24438007 -0.072131 0.06678032 0.19862229 0.18458795 0.2882161 -0.2563992 0.26920565 0.2220987 0.19557495 0.07553445
11637 0.389137755 0.048189615 0.3491237 0.201251835 0.145724685 -0.005470765 0.135727785 0.12662157 0.064814035 0.164508275 0.047502135 0.065839605 0.138203385 0.17456109 0.160556825 -0.05326258 0.25071042 0.09762653 0.07970303 0.01166865 -0.00225011 -0.20656421 0.235568705 0.017546275 -0.018217615 0.73566841 0.216911895 0.19328932 -0.00610468 -0.079800745
11639 0.814313223 0.932205647 0.846539913 0.79303264 0.832160143 0.85960116 0.945826463 0.816177377 0.893407017 0.952870183 0.874287227 0.907635907 0.865257673 0.8291909 0.949832943 0.840999483 0.851145423 0.845221777 0.932047367 0.911546293 0.736334033 0.894465233 0.885639013 0.861690937 0.826267023 0.633797463 0.92052184 0.87886276 0.850091203 0.762041287
11640 0.33826913 -0.444154 0.2238895 0.28371182 0.34321178 -0.2111937 -0.4272052 -0.203148 0.14559492 0.14956155 -0.2453457 -0.3122652 0.21869131 0.35734136 0.00370927 0.12229672 -0.237028 0.15038085 0.00627724 -0.0343537 0.06910209 -0.311171 -0.1871521 -0.2161764 -0.1583376 0.75464323 -0.0464329 -0.1824303 -0.420551 0.24786641
11647 -0.1709387 -0.0568801 -0.1039998 -0.2619513 -0.1400881 -0.1194203 -0.1402776 -0.3487428 -0.132276 0.01895858 -0.2425958 -0.1690603 -0.2799521 -0.4966776 -0.2248593 -0.1594709 -0.1006316 -0.1506734 -0.270028 -0.1666848 -0.0541765 -0.4047845 -0.0808246 -0.1719706 -0.1118585 -0.3516324 -0.0999494 -0.1674824 -0.371337 -0.1302429
11650 0.23339527 -0.0014504 0.01511331 -0.0744727 0.18553245 -0.0230024 0.15772174 0.27554967 0.10764408 -0.0337635 0.11845569 0.08876838 0.05284127 -0.016534 0.104438 -0.0470057 0.09503505 -0.0037781 0.01654256 -0.016645 -0.0513599 -0.3301319 -0.0653747 -0.0453562 0.04151248 0.15866165 0.07983198 -0.1382348 -0.0602118 -0.223848
11651 0.8952546 1.04650398 0.95802082 0.80787931 0.77448408 0.91681684 0.57982304 0.78603569 0.77390847 0.92488857 0.88651739 1.01950465 0.82708591 0.8288775 0.88835657 0.86940262 0.83109805 0.76376633 0.85843379 0.79052265 0.74869205 0.76875739 0.90171242 0.83161859 0.83749717 0.75449861 0.8651957 0.95730763 0.85668601 0.64208649
11655 0.71147596 0.67156582 0.69042004 0.73584011 0.73266718 0.62962376 0.78187316 0.54484007 0.74618555 0.59591095 0.56597922 0.74003862 0.74537463 0.57492057 0.51603979 0.63861822 0.62534975 0.86812545 0.74366045 0.76743875 0.66276217 0.59635064 0.59138879 0.68948824 0.77310265 0.48991032 0.76188643 0.63270511 0.44041988 0.65156771
11656 -1.3258396 -1.2537939 -1.3592115 -1.2023509 -1.5259051 -1.5639976 -1.0649228 -1.5473892 -1.2741519 -1.3233295 -1.3406773 -1.2462875 -1.2328925 -1.3354385 -0.6495969 -1.4831752 -1.114579 -1.5941792 -1.5133496 -1.146773 -1.1433325 -1.5914299 -1.3285699 -1.2531428 -0.9143778 -1.3592387 -1.5034559 -1.2470921 -1.4305856 -1.010309
