Gene	MsFA2a	MsFA2b	MsFA2c	MsFA2d	MsFA2e	MsFA3a	MsFA3b	MsFA3c	MsFA3d	MsFA3e	MsFA4a	MsFA4b	MsFA4c	MsFA4d	MsFA4e	MsMA2a	MsMA2b	MsMA2c	MsMA2d	MsMA2e	MsMA3a	MsMA3b	MsMA3c	MsMA3d	MsMA3e	MsMA4a	MsMA4b	MsMA4c	MsMA4d	MsMA4e
11602 -0.2931051 1.35012038 0.90453462 0.84785939 -0.4519598 -0.2366485 0.86972693 0.05819379 0.99388832 0.92153701 0.75482658 0.58832383 1.07341133 0.93816733 0.30449392 0.5989855 0.81436376 1.24743187 1.12093361 0.40353598 1.05913967 0.163876 0.90131821 1.28153498 1.13713432 1.06787435 0.68549934 0.74167465 0.868233 1.03205573
11603 0.48053549 0.59097401 0.51581409 0.63249755 0.50197777 0.51349666 0.70317314 0.5913649 0.62799415 0.62394807 0.70326612 0.57822142 0.47783588 0.68129961 0.65659867 0.56952133 0.5607364 0.5267199 0.62212341 0.5420142 0.56288009 0.64179155 0.5253713 0.61719025 0.62616998 0.49278934 0.5274881 0.42413547 0.71499847 0.72849109
11605 -0.0921754 -0.1501676 -0.0181331 -0.0449778 -0.139746 0.12377242 -0.1526891 0.01407056 -0.1102901 -0.1906369 -0.353074 -0.1337628 -0.1042304 -0.0313196 0.05379955 -0.0913758 0.06160014 -0.0424589 -0.0692686 0.01603324 -0.2677775 0.0533216 0.06499369 0.06916026 0.03096915 0.013461 -0.0731381 -0.0211403 -0.113183 -0.0986413
11606 -0.0333892 -0.26554 -0.2015307 -0.1821478 -0.1142033 -0.0264221 -0.0180987 -0.1275812 -0.049308 -0.1456004 -0.2351466 -0.1557961 -0.1064645 -0.1637301 -0.2951718 -0.1712295 -0.1254384 -0.2111856 -0.1740263 -0.1135678 -0.2194299 -0.2866423 -0.0616705 -0.1645179 -0.0031726 -0.0502474 0.0354126 -0.0467913 -0.1521164 -0.4141317
11609 0.28868712 0.15031352 0.34975105 0.17463561 0.3821993 0.24091195 0.24761867 0.39103208 0.36803193 0.26769057 0.27827467 0.10356566 0.19986406 0.23666986 0.27451214 0.24570796 0.12621682 0.24803318 0.20005799 0.24833808 0.21368825 0.34957679 -0.0697029 -0.0847411 0.14800623 0.10301199 0.21796628 0.21697562 0.2783627 0.34060864
11610 1.43613199 1.429498225 1.406509845 1.50053998 1.4343988 1.382268185 1.42069716 1.32142002 1.344462065 1.4146229 1.33014754 1.513566955 1.552821605 1.46958127 1.468420905 1.43408645 1.45000565 1.452905565 1.47259924 1.392450725 1.444812135 1.44828049 1.48210776 1.51283703 1.49074539 1.47505214 1.452878085 1.501010115 1.40008939 1.35522018
11630 -0.37166945 -0.445262 -0.46749405 -0.262024325 -0.372319 -0.2717719 -0.3958776 -0.29958005 -0.4035827 -0.35566085 -0.39796955 -0.439044295 -0.46584415 -0.3062749 -0.28955834 -0.36768495 -0.43182768 -0.38804017 -0.30410078 -0.3452963 -0.37325145 -0.3172088 -0.347733195 -0.298872935 -0.36025605 -0.342800055 -0.34421161 -0.4051658 -0.534751 -0.30231025
11632 -0.214516 0.18754467 0.00723822 -0.0728462 -0.2156603 -0.1982633 -0.0484484 -0.2556729 -0.0838683 -0.1051953 -0.1961021 0.29885206 0.12311669 0.12068188 -0.1124586 -0.0268264 0.24346916 0.1078428 0.10576888 -0.1245979 0.07196604 -0.1257238 0.07707324 0.08259093 0.12855649 0.22249962 0.19233208 0.20181664 0.1942513 0.18416972
11637 0.064852415 0.69065544 0.533085355 0.386833145 0.057080955 0.12795089 0.385448695 0.196475535 0.447921255 0.4961946 0.4692429 0.20789795 0.439525215 0.43301704 0.18932184 0.3340111 0.24334644 0.482802135 0.466161355 0.326905415 0.508718885 0.1452272 0.435703375 0.39479773 0.52582353 0.53758207 0.290004645 0.467210595 0.397938485 0.42477561
11639 0.769781397 0.64200783 0.642643417 0.630297563 0.687554473 0.618204913 0.726081587 0.738848647 0.609768453 0.66872764 0.731088223 0.60935888 0.647013283 0.64861797 0.716201067 0.754090997 0.61006062 0.682589317 0.6400116 0.644201407 0.562278627 0.643427493 0.68362615 0.816874533 0.637989267 0.6237275 0.63123072 0.67224171 0.74420536 0.587547537
