Gene	SpFA2a	SpFA2b	SpFA2c	SpFA2d	SpFA2e	SpFA3a	SpFA3b	SpFA3c	SpFA3d	SpFA3e	SpFA4a	SpFA4b	SpFA4c	SpFA4d	SpFA4e	SpMA2a	SpMA2b	SpMA2c	SpMA2d	SpMA2e	SpMA3a	SpMA3b	SpMA3c	SpMA3d	SpMA3e	SpMA4a	SpMA4b	SpMA4c	SpMA4d	SpMA4e
11637 0.68789501 0.52378565 0.916277475 0.783713985 0.55566961 0.56679201 0.67465002 0.615472675 0.603800385 0.75106951 0.69624539 0.682820375 0.65500285 0.364817835 0.40628732 0.649511475 0.72818116 0.57862503 0.769688725 -0.04899795 0.653950675 0.683572625 0.24727277 0.625076015 0.789863565 0.56660256 0.561386715 0.68203562 0.641292535 0.56561859
11639 0.62747507 0.56878328 0.515230473 0.625130867 0.605275747 0.462845657 0.517500877 0.647260933 0.537583823 0.4923784 0.490566543 0.50436786 0.48409919 0.681059983 0.603563883 0.63557584 0.540635413 0.59825964 0.48206484 0.451088507 0.529165997 0.482856337 0.70603973 0.58804216 0.511267973 0.474260767 0.49177822 0.37373349 0.570433273 0.5432486
11640 0.63722168 0.91504988 0.82442386 0.6057024 0.54828705 0.85267823 0.61284785 0.64024427 0.88852271 0.8257967 0.74980346 0.70421069 0.63795011 0.60177073 0.7531153 0.50667447 0.95483575 0.76009831 0.89010978 -0.7011843 0.75794815 0.68736515 0.52583716 0.71128954 0.70540807 0.74398986 0.51008005 0.72586667 0.8329986 0.75883053
11647 0.29543957 0.16716263 0.10934772 0.05008382 0.12864668 0.14914581 0.19520363 0.21888411 0.12561905 0.12381216 0.13534204 0.09344327 0.27890095 0.08723766 0.04639536 0.23488924 0.08077654 0.01884441 -0.1457317 -0.1653376 0.18408992 0.07997976 0.21618895 0.13676973 0.24488092 0.06544272 0.10387969 0.09153049 -0.0129288 0.12421457
11650 -0.6680653 -0.5090311 -0.6625986 -0.5647669 -0.5348704 -0.6284485 -0.5128412 -0.5760768 -0.4941238 -0.765177 -0.6966589 -0.3933695 -0.7812292 -0.3940478 -0.4004655 -0.4638446 -0.4521405 -0.3575764 -0.4642925 -0.5537832 -0.6521611 -0.4861417 -0.5674884 -0.3887711 -0.4464364 -0.5344036 -0.3755427 -0.3205137 -0.6250259 -0.5111022
11651 1.29202543 1.13076724 1.13539027 1.17004158 1.23234665 1.11598674 1.27810825 1.22714696 1.18769371 1.11462901 1.08426937 1.31473335 1.34455555 1.29598721 1.13982181 1.19015411 1.09611361 1.24607592 1.10746221 1.48680136 1.22606814 1.16930316 1.34080244 1.15816049 1.32574631 1.28445112 1.2576204 1.3594308 1.12241352 1.30764312
11655 0.6484791 0.67851803 0.65639924 0.59657939 0.52758177 0.36122457 0.58780561 0.42668579 0.62564888 0.47576195 0.44730966 0.47599728 0.39476472 0.76330938 0.59397183 0.61809015 0.60896105 0.55987188 0.59377101 0.29630984 0.46220639 0.5267079 0.76569405 0.66271573 0.67637616 0.46149473 0.4365794 0.4583562 0.3399289 0.69731285
11656 -1.0437476 -1.2645946 -1.1796693 -1.1624084 -1.1559954 -1.1602679 -0.9566576 -1.008043 -1.04493 -1.0950018 -1.0864501 -1.1250712 -0.9655003 -1.2519335 -1.1583105 -1.0609298 -0.5093167 -1.2293094 -1.1212337 -1.2891822 -1.1598323 -1.1269235 -1.1200046 -1.0678729 -1.0272298 -1.0504784 -0.9529269 -1.0415137 -1.1005765 -1.3088644
11657 1.72598222 2.03951163 2.03650175 1.99871746 1.68818234 1.62995352 1.64844219 1.4695008 1.95467728 2.03836383 1.96545288 1.61724636 1.61194133 1.3279916 1.67466859 1.73597533 1.91721111 1.9426248 2.02515267 0.32738006 2.05441951 1.77469372 0.98624469 1.63972077 1.65700885 1.56083792 1.53476075 1.79700789 1.77552393 1.73852667
11658 -0.071132638 -0.046655035 0.057512872 -0.12837873 -0.153090903 -0.036078935 -0.033705735 -0.102528935 -0.23328409 -0.016418072 -0.191790085 -0.916688535 -0.06762369 -0.056107583 -0.33096004 -0.078233188 0.002915558 0.01883852 -0.100043718 0.35820422 -0.093087985 -0.17336134 -0.544263093 -0.212879815 -0.22259322 -0.06227144 -0.024737668 -0.299993223 -0.135227705 -0.162347903
11668 -0.146812085 -0.11547594 -0.10273925 -0.081377075 0.365182025 0.32032128 -0.217251025 -0.23619351 -0.086318 0.35390951 0.422547315 0.30771 0.32968053 -0.08053219 -0.04446193 -0.21660576 -0.18382009 0.04126444 -0.094272295 0.11931022 0.293187595 0.332842315 -0.206289985 -0.16724209 -0.08555962 0.298910355 0.28879374 -0.12449415 0.39711611 -0.09060986
