Gene	HFA2a	HFA2b	HFA2c	HFA2d	HFA2e	HFA3a	HFA3b	HFA3c	HFA3d	HFA3e	HFA4a	HFA4b	HFA4c	HFA4d	HFA4e	HMA2a	HMA2b	HMA2c	HMA2d	HMA2e	HMA3a	HMA3b	HMA3c	HMA3d	HMA3e	HMA4b	HMA4c	HMA4d	HMA4e
11630 -0.8839002 -0.9868647 -0.7650565 -0.92272665 -0.91824885 -0.9439544 -0.78915125 -0.9317991 -0.8134086 -0.8710074 -0.8480601 -0.967112 -0.88287575 -0.836031 -0.96920175 -0.88730815 -1.040057 -0.77619185 -0.80827595 -0.95049245 -0.919185 -0.877301 -0.92065325 -0.9018596 -0.8687692 -0.9504075 -0.9176255 -0.76435245 -0.8695779
11632 0.06166764 0.04318462 0.2964603 -0.0032405 0.04020806 0.04029507 0.02694109 -0.0144678 0.15736685 0.15574179 0.01809652 -0.1054109 0.09077167 -0.0131972 -0.0451071 0.11465272 0.16794911 -0.0180022 -0.0899581 0.11441605 0.08321868 0.07101496 -0.0089628 0.26126361 0.05927518 0.07157813 0.03681939 0.11424161 0.00418468
11637 0.64119765 0.39191989 0.637353735 0.18584767 0.560182855 0.87928753 0.453669305 0.19437787 0.99406528 -0.02091421 0.605734565 0.22459948 0.38189666 0.87802042 0.642620555 0.509876585 -0.02523939 1.38337136 0.15167772 0.412413625 0.122554755 0.81865495 0.64061128 0.5026421 1.28426607 0.37781567 0.59355687 0.672488345 1.024987675
11639 0.676580677 0.702511273 0.751624007 0.666097117 0.695219907 0.643660687 0.853786927 0.715824957 0.563834863 0.82437859 0.781089203 0.804345943 0.800775107 0.39269885 0.713321853 0.811024513 0.986911897 0.407935237 0.766843853 0.829068367 0.748643067 0.757287057 0.686526553 0.917673203 0.269096187 0.8176701 0.70434396 0.76037867 0.43173504
11640 0.65518762 0.89207422 0.91988374 0.28029021 0.67135417 1.0726673 0.65609735 0.35139863 0.93998655 0.7027065 1.0729133 0.84152962 0.91537253 0.82599164 1.0164361 0.88743792 0.63999753 1.35153689 0.50373923 0.68862793 0.64566233 0.98409775 1.03475327 0.74928191 1.26356091 0.61648441 0.87397865 0.92262807 1.02194985
11647 0.38277796 0.32770771 0.35503214 0.4512177 0.39702295 0.28579116 0.5083978 0.35144797 0.25212767 0.32355796 0.43771439 0.42362572 0.36731352 -0.0377706 0.3438159 0.18774496 0.45753028 -0.0345402 0.4511178 0.47260743 0.34841248 0.32301496 0.2597573 0.48339755 -0.0511721 0.40345773 0.22325045 0.26506873 0.19304253
11650 0.02012658 0.1821491 0.17944402 0.22364797 0.15017481 0.10466957 -0.1270743 0.18067539 -0.1846421 0.29196258 0.23343888 0.06805261 0.21744197 -0.1198943 -0.0449462 0.3176352 0.40103775 -0.372477 0.1904805 0.31899293 0.26300781 0.03220562 0.17251134 0.12754392 -0.1243693 0.13700507 0.13470457 0.02621175 -0.1043134
11651 1.03967787 0.80648856 0.84864066 1.1565164 0.86663252 0.78950726 0.80519602 0.91686861 0.75402468 0.68329892 0.51913797 0.95366112 0.78374484 0.94936893 0.79033928 0.7680892 1.02881843 0.71324479 0.83999655 0.89290387 0.94493678 0.84776023 0.78201555 0.78788933 0.78159565 0.85673855 0.67176591 0.72750634 0.82969347
11655 0.6981994 0.69305442 0.49903999 0.5698345 0.90295374 0.86611927 0.88330949 0.71253979 0.2103292 0.81438064 0.63836054 0.7691089 0.7990013 0.50653148 0.70896652 0.29830782 0.89815945 0.20914914 0.62873492 0.89442697 0.73371891 0.72610107 0.54754759 0.86375599 0.26269666 0.88334303 0.67833908 0.74543589 0.52267575
11656 -0.8288126 -1.0893761 -0.7821085 -0.9473616 -0.9417395 -0.8340462 -0.9271401 -1.0461032 -0.9006884 -0.8203519 -0.900061 -1.0018582 -1.0788041 -0.8431864 -0.8794123 -0.8098252 -0.9287585 -0.5956684 -1.0142355 -0.9579936 -0.813782 -0.7415476 -0.9918296 -1.0986086 -0.7229735 -0.8732889 -1.1282497 -0.8138153 -0.8591605
11657 1.85251929 1.63815782 1.56043739 0.73430183 1.85496891 2.13692613 1.41197613 1.42174109 2.089596 0.28941166 1.77872786 1.10500489 1.62725438 1.98381475 1.56848114 1.7790684 0.57354103 2.18886242 0.64479977 1.3181891 0.89224991 2.0203813 1.82757473 1.63044584 2.44715071 1.41188782 1.81603873 1.84564202 2.09346248
11658 0.20190202 0.220449998 -0.18642722 0.110585098 0.132930433 0.23915681 0.390641378 0.270186758 0.167198133 0.058611425 0.136151965 0.18212691 0.150751078 0.198565248 0.24271254 0.17393297 0.185263183 -0.077717633 0.074128243 0.13413223 -0.075896545 0.2039559 0.153764583 -0.051495545 0.22179708 0.171377825 0.27776351 0.228021653 0.09298172
11668 0.34771792 0.39772496 0.405608725 0.294638995 0.235679235 0.2063434 0.34565219 0.30692502 0.374189235 0.252044805 0.23106031 0.33075616 0.30939896 0.34012091 0.3328728 0.334423225 0.221442555 0.428074765 0.297156765 0.21817464 0.21005087 0.294464005 0.39999827 0.305585565 0.30295857 0.23827176 0.31064012 0.34642761 0.33462847
11669 -0.6306581 -0.7801192 -0.5781759 -0.8189281 -0.8945166 -0.8107428 -1.0938949 -0.9198672 -0.6366827 -0.8469966 -0.7600353 -0.7519037 -0.8515961 -0.8933035 -0.6650384 -0.9217434 -0.8657028 -0.4241698 -0.7408986 -0.8760617 -0.7828588 -0.9195301 -0.6750491 -0.922343 -0.3664454 -0.9760555 -0.8163183 -0.8745138 -0.6093464
11676 1.46878692 1.37619861 1.08544337 1.34871533 1.60782033 1.49331326 1.35908343 1.39597181 1.43013459 1.13060164 1.25502356 1.24344647 1.37032347 1.44375632 1.24758211 1.34741289 1.04318657 1.64422958 1.39480733 1.25354889 1.28313583 1.40301472 1.33590662 1.28774041 1.64896853 1.31364496 1.34379374 1.34614086 1.58229386
11684 0.15593242 -0.6755535 -0.0485987 -0.0220204 -0.0809355 -0.2191088 -0.6997568 -0.5363288 -0.5065716 -0.3302076 -0.4576752 -0.5147672 -0.6545502 -0.0919651 -0.6824035 -0.4126645 -0.2283408 0.07600541 -0.0710391 -0.534197 -0.4712053 0.01470934 -0.4472409 -0.4353424 -0.4108182 -0.1947904 -0.667277 -0.5584011 -0.0297391
11685 0.51216701 0.643069 0.64109053 0.37620479 0.5348336 0.47659674 0.64054099 0.38541561 0.29818198 0.58284282 0.62227159 0.57821811 0.41403825 0.1411015 0.60686104 0.70191655 0.94719598 0.083758 0.34420665 0.61688182 0.34866966 0.64259843 0.35081608 0.65715377 0.27655537 0.61564069 0.46881389 0.57157492 0.31359894
11690 -0.2369717 -0.0380948 -0.0422138 -0.1802249 -0.1720139 -0.1502355 0.22049073 -0.1124393 -0.3107437 0.04148634 0.04990169 -0.297351 -0.0229664 -0.4065745 -0.1610579 -0.0239374 0.06790972 -0.437094 -0.1870195 -0.0085024 -0.0757133 -0.174295 -0.1596123 0.02867969 -0.2910091 -0.046401 -0.0679694 0.02393484 -0.1545191
11692 0.52409859 0.41093687 0.59385149 0.45474577 0.33075593 0.30103953 0.33773469 0.27219635 0.35356715 0.62591711 0.46380867 0.30168658 0.52645382 0.16167869 0.28813503 0.66364699 0.70511612 0.25960012 0.37771587 0.55164518 0.49992622 0.46874066 0.45409536 0.65924823 0.22789056 0.50842765 0.3246453 0.67051403 0.23435357
11720 0.15793507 -0.043118 -0.1447165 -0.1588895 -0.1204383 -0.0979174 -0.3399154 -0.0997574 -0.0364151 0.01508786 -0.0097921 -0.0381806 -0.1683894 0.0372768 0.04189926 0.26612402 -0.2454818 0.24563843 -0.2603764 -0.3104935 0.01115867 0.04194854 0.04791594 -0.2701701 0.0737507 -0.1716935 -0.0976605 -0.2532606 -0.046522
11732 -0.5684697 -0.6344196 -0.69682035 -0.2680646 -0.42710455 -0.43634845 -0.44934765 -0.4395904 -0.4988326 -0.5868603 -0.4881887 -0.4554209 -0.3515484 -0.3782436 -0.48839135 -0.5620982 -0.50300305 -0.7898989 -0.32623305 -0.50258655 -0.41382535 -0.57075325 -0.6397635 -0.40079275 -0.8293384 -0.4189513 -0.39707875 -0.33134385 -0.3596395
