Gene	KFA2a	KFA2b	KFA2c	KFA2d	KFA2e	KFA3a	KFA3b	KFA3c	KFA3d	KFA3e	KFA4a	KFA4b	KFA4c	KFA4d	KFA4e	KMA2a	KMA2b	KMA2c	KMA2d	KMA2e	KMA3a	KMA3b	KMA3c	KMA3d	KMA3e	KMA4a	KMA4b	KMA4c	KMA4d	KMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24
11606 -0.1949026 -0.4583213 -0.1175527 -0.2308943 -0.3628892 -0.2881109 -0.2405953 -0.0826736 -0.2303702 -0.2496988 -0.3856122 -0.2926042 -0.2958573 -0.1778027 -0.2582232 -0.3111815 -0.2749156 -0.3552902 -0.2706877 -0.2810208 -0.3168532 -0.2050077 -0.5330187 -0.2324223 -0.3310535 -0.1916179 -0.307467 -0.3397837 -0.2269475 -0.3615738
11609 0.4271129 0.36121494 0.50659924 0.62054617 0.43801699 0.48552545 0.4205349 0.64319799 0.46290798 0.55900801 0.2871173 0.27545589 0.34777508 0.62654644 0.21146308 0.47080804 0.48947532 0.42283407 0.5565989 0.42153451 0.51231093 0.52445548 0.26689692 0.4451776 0.49704042 0.52457089 0.24869045 0.49771566 0.14488491 0.241082
11610 0.962332905 1.132233045 1.120653045 0.94798259 1.32494336 1.026851005 1.151938345 0.752468705 0.899529025 1.003227265 0.979501695 1.1007944 1.154518255 0.76125846 1.41348808 1.180215705 0.85861368 1.00303273 0.873309105 1.150955865 0.92107394 1.12144852 0.96714201 1.08439021 1.206821735 1.0178427 1.12714387 0.85352021 1.15169843 0.996091165
11630 -0.67939975 -1.08884575 -0.554360335 -0.6972439 -0.466336145 -0.7445167 -0.75313335 -0.59071845 -0.66516023 -0.83216305 -1.00071125 -0.646858205 -0.69370615 -0.67571005 -0.5252259 -0.92975055 -0.63067135 -0.435632195 -0.7854923 -0.611531095 -0.46005279 -0.76978595 -0.74870775 -0.7918355 -0.82294975 -0.57252025 -0.6342709 -0.9180829 -1.01664065 -0.66252507
11632 0.01541515 -0.0143892 -0.0579735 0.15901509 0.14706612 0.19809938 -0.0522035 0.12170697 0.20316344 0.11770416 -0.0765231 0.07357295 0.01073078 0.09554413 -0.1354134 -0.1923733 0.11414982 0.04963798 0.25135082 -0.038615 0.12535931 0.13058819 0.03860755 -0.0523476 0.22904326 0.09618873 0.22527898 0.2003145 -0.0863789 0.03024829
11637 -0.253182095 0.2969939 -0.582314635 -0.205629965 -0.163545605 -0.084182575 -0.20767182 -0.263044825 -0.449972285 -0.451783795 -0.051380475 -0.18280161 -0.21332605 -0.10806568 0.091992825 0.197441605 -0.02385169 -0.373052145 -0.141809955 -0.193935195 -0.32561288 -0.364708775 0.134883195 -0.13413743 -0.23870515 -0.40972812 -0.078599225 0.22131311 0.156268095 -0.238657585
11639 0.598296877 0.579305157 0.604823247 0.8338029 0.680345047 0.668334033 0.710636463 0.76189018 0.803026757 0.74492878 0.651113057 0.684665627 0.691292317 0.662956343 0.729893827 0.55391255 0.75051853 0.91944592 0.748932453 0.639013117 0.81276397 0.779568447 0.684227237 0.557755117 0.740903077 0.699877033 0.66741378 0.676376783 0.62848413 0.761583177
11640 0.12925337 0.1589553 0.14009541 0.16359756 0.20278077 0.14050915 0.31434937 0.27404862 -0.2091164 0.11789499 0.28970943 0.12440206 0.29167966 0.39974338 0.00020097 0.33304709 0.27285158 -0.1345196 -0.2806745 0.27735946 0.19170345 0.20885729 0.44495762 -0.0971544 0.09189027 0.13087711 0.01201196 0.35853921 0.13199081 -0.0577696
11647 0.55807459 0.61484638 0.87697527 0.62280718 0.53122533 0.77573716 0.34930424 0.68130203 0.88669428 0.60177398 0.57523543 0.58605512 0.58569357 0.56972137 0.71586093 0.15917165 0.55272908 0.78359248 0.75356835 0.34936601 0.96672328 0.58736825 0.58551172 0.39262109 0.73991301 0.71712061 0.72068745 0.55649834 0.58219408 0.57548692
11650 -0.0962659 -0.2161377 0.022013 0.12151341 -0.2771095 -0.6683181 -0.0486812 -0.4078093 -0.0922695 0.17418576 -0.2432752 -0.4650042 -0.3339507 0.05731836 -0.4448806 -0.3203718 -0.2214468 -0.0437066 -0.4686387 -0.3449181 0.03047523 -0.2965141 -0.3457752 -0.6069392 -0.0659394 -0.5668311 -0.3637929 -0.2234275 -0.1417239 -0.1076306
