Gene	GSM684640	GSM684639	GSM684638	GSM684637	GSM684636	GSM684635	GSM684634	GSM684641	GSM684655	GSM684653	GSM684657	GSM684656	GSM684651	GSM684654	GSM684652	GSM684650
553106	6.256925	5.96435	5.971855	5.886555	6.39341	5.60326	5.71155	5.7008	7.021015	6.92509	6.47818	7.785905	6.557025	7.12042	6.69694	7.664325
554172	6.45233	6.401405	6.027405	6.323475	6.33781	6.437755	6.307545	6.502285	6.80473	5.773035	6.410055	6.77472	6.15874	8.902945	6.28016	6.79837
554353	3.16846	3.18497	3.11585	3.5274	3.40218	3.37228	3.40797	3.01516	2.96919	3.18579	3.20106	3.22118	3.10148	4.23139	3.38391	3.2485
595134	9.0356	9.40534	9.27192	9.05055	9.20506	9.29623	9.48187	8.98298	8.87582	8.52329	8.77444	9.06884	8.85449	9.69486	8.97065	9.09626
606294	7.97197	8.13067	8.10645	7.82728	7.6467	8.19331	7.97982	8.07068	7.78483	7.83744	7.97046	7.76531	7.815	7.18678	8.05967	7.66821
613220	3.31115	3.21388	3.02467	3.87183	3.1678	3.24007	3.08932	3.35531	3.01985	3.05383	2.98231	2.97588	3.02087	2.99751	3.07303	2.99687
613226	3.885644	3.927378	3.847364	4.031208	3.926332	3.977694	3.888472	3.886826	3.711018	3.946914	3.792226	3.667698	3.785942	3.733442	3.81701	3.797886
613267	8.9752	8.49678	8.72733	8.54871	8.63208	8.40794	8.53415	8.79771	8.56996	8.39585	8.68074	8.17254	8.90969	6.91045	8.966	8.47239
619345	8.87396	8.99916	8.71374	8.63064	8.66402	8.54098	8.98245	8.86066	9.17709	8.68714	8.77303	8.58593	9.1866	8.82908	8.9914	8.76504
619346	11.1953	11.27965	11.19535	11.1456	10.99815	11.34585	11.27055	11.1898	10.93245	11.1406	11.1674	11.3579	11.2621	10.827795	10.9523	11.3446
619374	6.33011	6.3911	6.463362	6.532794	6.82769	6.710072	6.459436	6.568726	6.185984	6.560672	6.516906	6.52251	6.630386	9.06679	6.448486	6.913154
619382	6.16983	6.13881	6.32244	6.96718	7.03875	6.87439	6.78456	6.28842	5.48623	7.46924	6.64283	5.55783	6.03321	7.35349	6.64178	5.54362
619385	11.385	11.4849	11.7195	11.7085	11.527	11.5723	11.4602	11.5938	11.7796	11.7178	11.6224	11.8875	11.5311	12.8159	11.7149	11.621
619393	10.1948	9.50649	9.33659	9.64088	10.2352	9.66622	10.085	9.43206	9.00362	10.1985	9.47778	10.1803	10.0968	8.23956	9.83808	9.84883
619436	8.1717	7.94824	8.13141	7.89088	7.8378	8.00163	7.98762	8.06176	8.3736	7.86824	7.93115	8.6847	8.27366	7.93799	8.1973	8.37719
619440	8.17033	7.9556	8.3079	7.84336	8.11497	7.80916	8.14369	7.82549	7.93071	7.91974	7.92642	8.18622	8.07036	8.64069	7.70286	8.07983
619476	3.50864	3.50789	3.49632	4.00173	3.69798	3.91588	3.48407	3.52386	3.3025	3.51251	3.44648	3.29181	3.46318	3.39107	3.86863	3.63711
619549	8.25067	8.03881	8.19718	8.35499	8.12809	8.11289	8.18373	8.11457	8.82731	8.77994	8.83806	8.74016	8.5851	8.34673	8.91546	8.85818
619550	3.370545	3.36084	3.402835	3.472645	3.61374	3.42201	3.19977	3.55089	3.382295	3.557275	3.39359	3.645785	3.28601	4.377645	3.389305	3.538425
619558	9.51838	9.804565	8.995065	9.321185	9.202405	9.43882	9.082405	9.52403	9.348485	8.92925	9.853265	9.08523	8.911225	9.188185	9.056765	8.820535
619560	15.6994	15.740225	15.410425	15.386675	15.740025	15.282575	15.64515	15.651375	14.506375	14.175775	14.2261	14.163025	14.891825	12.7497975	14.85	14.24135
619561	7.90829	8.27454	8.2283	7.67819	7.9166	7.63595	7.68191	7.92555	8.64319	8.85549	7.24053	9.98172	8.17453	7.82059	8.049	9.05883
