Gene	EFA2a	EFA2b	EFA2c	EFA2d	EFA2e	EFA3a	EFA3b	EFA3c	EFA3d	EFA3e	EFA4a	EFA4b	EFA4c	EFA4d	EFA4e	EMA2b	EMA2c	EMA2d	EMA2e	EMA3a	EMA3c	EMA3d	EMA3e	EMA4a	EMA4b	EMA4c	EMA4d	EMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	24	24	24	24	6	6	6	6	16	16	16	16	24	24	24	24	24
11546 -0.1580792 -0.2811102 -0.5498858 -0.0753206 0.10450144 -0.1943409 0.02311998 -0.6258985 -0.2584236 -0.3179004 0.08011576 -0.9211217 -0.1524247 -0.144577 -0.398533 -0.808023 0.03171711 -0.0913153 -0.1756574 -0.6574932 -0.4075577 -0.226809 -0.4460269 -0.0459922 -0.0654629 -0.4057019 -0.1213575 -0.3600321
11555 -0.4157213 -0.4208656 -0.4928974 -0.5407859 -0.3367665 -0.5869324 -0.179363 0.04705501 -0.457981 -0.5419371 0.12386498 -0.5210068 -0.2946116 -0.6687742 0.16117689 -0.6449666 0.29574197 -0.645172 -0.3642998 -0.8774333 -0.0056683 -0.0291629 -0.370394 -0.5628102 -0.2890172 0.04554481 0.11986922 -0.3560164
11566 0.1464569 0.00359726 0.25061547 0.38506637 0.51721287 0.36939088 0.18172417 -0.0997707 0.36500468 0.23950103 0.06550714 -0.0629847 0.41119863 0.39396661 -0.0389285 0.1109767 0.36613666 0.57158273 0.27259901 0.5457647 -0.2210623 0.26012464 0.36744674 0.56973998 0.35931339 -0.3614454 -0.0839076 0.39016345
11568 -1.2651647 -1.4582512 -1.1674227 -1.048309 -1.0522945 -1.2634888 -1.1953509 -1.6599225 -1.274757 -1.0357999 -0.9021901 -1.4587205 -0.9866282 -1.0762699 -1.1325077 -1.2837427 -1.2282826 -1.0717324 -1.1850958 -1.7314284 -1.3824882 -1.334714 -0.998254 -1.3227516 -1.0965401 -1.4709661 -0.8909983 -1.1363344
11569 -0.7307205 0.071884367 -0.267496473 -0.367242783 -0.441183897 -0.58938986 -0.600600177 -0.6271946 -0.43676681 -0.943404013 -0.633206007 -0.274265647 -0.459674637 -0.740150077 -0.33933367 -0.803198207 -1.3730032 -0.461467153 -0.72014784 -0.179747203 -0.543454523 -0.23684008 -0.45971555 -0.7086868 -0.52677418 -0.805668 -0.678090907 -0.585363023
11593 -0.2130363 0.17891663 0.11345412 0.17294248 0.08681181 0.16168533 0.19041177 -0.2053418 0.38004068 -0.0062201 -0.2166018 0.22838832 0.07242532 -0.0300566 0.12873313 0.08135803 0.01084948 0.11241445 -0.2289776 0.02658151 0.29503027 0.09423397 0.25534997 0.18295315 -0.1956017 -0.1354499 0.24563247 0.22371272
11602 1.20983366 1.01394756 1.16803621 1.03449952 1.56351922 1.53218561 1.3248222 1.18597445 1.39196538 1.18789253 1.09580371 1.44576326 1.66869372 1.34191003 1.10503254 1.45726055 1.398122 1.29723715 1.39931779 1.31869192 1.51930671 1.41224829 1.5755492 1.53244145 1.65303595 1.37194428 1.37426718 1.34142092
11603 0.36735941 0.5054665 0.4661485 0.41292721 0.49255519 0.55813024 0.78514358 0.46610623 0.57792684 0.43013352 0.38384723 0.56791747 0.58556083 0.37276971 0.42645613 0.47538489 0.36668736 0.45363488 0.51186741 0.66506514 0.50348255 0.6187707 0.48291374 0.4079269 0.39630312 0.57735291 0.66616363 0.43300281
11605 -1.1083112 -1.2717887 -1.4959596 -2.7018075 -1.0760404 -1.9154312 -1.2877659 -0.6738946 -1.4273112 -0.8959886 -1.0233512 -1.3469745 -1.4933955 -1.4401931 -1.0933358 -0.6423858 -1.4577766 -1.6978304 -1.4536759 -1.8797677 -1.2329752 -0.6099507 -1.6831983 -1.4288401 -0.9599667 -0.9439685 -1.8262153 -1.4603761
11606 0.15904767 0.21526386 0.37771463 0.15656041 0.18954088 0.17026491 0.29594096 0.30929508 0.25313362 0.24778157 0.09805677 0.37393894 0.20655187 0.20716369 0.23039666 0.48720063 0.21313502 0.15958637 0.15050701 0.40566921 0.39520966 0.30920049 0.28347637 0.22920394 0.11812645 0.22236512 0.27891928 0.25546815
