Gene	BmFA2a	BmFA2b	BmFA2c	BmFA2d	BmFA2e	BmFA3a	BmFA3b	BmFA3c	BmFA3d	BmFA3e	BmFA4d	BmMA2a	BmMA2b	BmMA2c	BmMA2d	BmMA2e	BmMA3a	BmMA3b	BmMA3c	BmMA3d	BmMA3e	BmMA4a	BmMA4b	BmMA4c	BmMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24
11287 1.5397499 1.32449529 1.3338381 1.62385778 1.61204797 1.59719437 1.46900697 1.49309632 1.62308868 1.17678947 1.57542256 1.14138923 1.23362473 1.40255229 1.65416234 1.70180894 1.58909653 1.37447302 1.34314828 1.3919355 1.42048208 1.75100469 1.21481569 1.52314529 1.71987948
11555 0.55413844 0.17677497 0.3272433 0.54632385 0.48829123 0.64554951 0.54746644 0.62091097 0.62720612 0.40542876 0.2656471 0.34654418 0.47220476 0.36905637 0.61436999 0.68429089 0.53060448 0.42117897 0.47434244 0.52518106 0.37740367 0.44627961 0.33897282 0.498649 0.76357898
11566 -0.3700306 -0.4586761 -0.4538121 -0.4163241 -0.2133341 -0.5148281 -0.5106441 -0.3396703 -0.4496259 -0.149703 -0.3778237 -0.4678941 -0.3518122 -0.5066978 0.05330723 -0.4752551 -0.3726258 -0.5909144 -0.2869435 -0.864928 -0.4135973 -0.2121672 -0.5722107 -0.2560666 -0.2594026
11568 -0.848646 -0.7421079 -0.5976719 -0.7087826 -0.6510859 -0.7199282 -0.6063832 -0.9538001 -0.551696 -0.9154707 -0.8069282 -0.8639133 -0.7340234 -0.6907765 -0.7799139 -0.875028 -0.8466264 -0.8274397 -0.8567533 -0.6295858 -0.9595051 -0.8552669 -0.9130885 -0.7634536 -0.7521508
11569 -0.311523023 -0.425250393 -0.752943987 -0.287947307 -0.235660407 -0.44196746 -0.44139659 -0.19149136 -0.233893873 -0.49481675 -0.5272248 -0.351640233 -0.656388897 -0.540331947 -0.351556103 -0.269242083 -0.51559996 -0.436573543 -0.5424791 -0.302707323 -0.523870583 -0.270401307 -0.472208893 -0.37783051 -0.38879658
11593 -0.5774276 -0.3824161 -0.4195209 -0.6692864 -0.8512076 -0.4513005 -0.4032556 -0.4204967 -0.6268886 -0.2552214 -0.7715651 -0.2103838 -0.3715788 -0.4573831 -0.703649 -0.5783127 -0.4365728 -0.3215702 -0.363626 -0.4487452 -0.6579763 -0.3587923 -0.6709944 -0.6292281 -0.6250497
11602 0.77334589 1.10769314 1.36596934 0.82169217 0.62088288 0.84178327 0.99812794 0.90354098 0.5175811 1.39737877 0.78044818 1.3658704 1.28387334 1.5230612 0.50406645 0.61818795 0.78291025 1.35367167 1.24293452 0.94230699 0.94536787 0.81725898 1.17491513 0.98857163 0.39335626
11603 1.08752221 1.24520558 1.10376248 0.87515556 1.07621871 0.8878246 1.04074596 1.04701823 0.77427868 1.3277778 1.08434132 1.36681476 1.14626855 0.73524204 1.06068615 1.03573386 1.30832932 1.17825627 1.1947201 1.10901008 1.31856186 0.97781772 1.26116271 0.76910038 0.83049684
11605 0.0787224 0.08002162 -0.0374186 0.18373546 0.08958413 -0.0293322 0.2112257 -0.0050477 0.20242472 0.01322226 0.19526356 -0.0461945 0.00018361 -0.009745 0.00577692 0.16489691 0.08112943 0.02653476 -0.035689 0.02511326 0.15799097 0.21651828 -0.0220458 0.3084581 0.17973082
11606 0.11531022 0.22882212 0.03822377 0.1362152 0.06997996 -0.0785854 -0.0512313 0.03126791 -0.1551334 0.11713058 0.11256674 0.01166868 0.10453991 -0.0086291 0.02429302 0.03829874 0.1758228 0.15908567 0.04060398 -0.149553 0.11499414 0.17062569 0.1160899 0.02670929 0.13877756
11609 1.07726273 1.21052586 1.21070249 1.05772879 1.009142 1.01355546 1.1166251 1.14271477 1.03719317 1.470402 1.00086967 1.32578689 1.26449135 1.14966317 1.01273295 1.10183234 1.52308524 1.26629504 1.25434192 1.12676325 1.203211 0.98878903 1.21063547 0.85545447 0.77999932
11610 0.88615989 0.637916235 0.68309166 0.86312773 0.895278345 0.83363672 0.66794271 0.78941024 0.822633615 0.6446769 0.876310945 0.819168115 0.8268394 0.867173205 1.007345495 0.994804715 0.673115955 0.87492228 0.79840585 0.70242704 0.85805451 0.819649325 0.905858905 0.721501605 0.98669168
11630 0.085466975 -0.16574458 -0.279819575 -0.026938315 0.03890903 -0.12691371 -0.36771582 -0.005863805 -0.039383415 -0.4702413 0.02510453 -0.20708625 -0.290566315 -0.412235585 0.218167345 0.359293605 -0.339889515 -0.355236545 -0.22887699 -0.154706535 -0.03975219 -0.059180245 -0.21332898 -0.11995894 0.10954099
11632 0.4441686 0.60311787 0.64316518 0.39554402 0.50807308 0.44696697 0.67676193 0.50901491 0.35670298 0.85441777 0.47077094 0.64485508 0.61473685 0.44065858 0.50892723 0.47914486 0.83973119 0.55036444 0.63637192 0.43202052 0.61008795 0.57474419 0.51310648 0.42433824 0.2491941
