Gene	GSM154905	GSM154904	GSM154907	GSM154906	GSM154903	GSM154908	GSM154897	GSM154896	GSM154902	GSM154899	GSM154898	GSM154901	GSM154900
24232	5.07375597881565	4.21661782848406	4.68565427145612	4.70717688540726	4.59777547611859	4.17107869605868	6.0918246366673	6.35181734538563	7.31281943901017	6.31583247253823	6.64368594171507	8.19091111163069	6.73776787017037
24233	8.34334119383313	7.33070180195338	7.37701092568812	7.0548810284118	7.78135971352466	7.43971454966938	9.76554634887295	10.0603176474427	10.559941055878	10.0424117847647	10.4595853066556	11.794704214075	10.2559727419996
24235	2.358576306265	2.81013663999135	2.30384502885319	2.40767361652075	2.32260311822336	2.33636051999281	2.38781744747575	2.33302006614452	2.33129820101366	2.30573418555434	2.26666962145012	2.321899240698	2.33474845828299
24236	3.82244463940462	4.0271717488319	3.86466159839986	3.91062714178445	3.84337086985243	3.88484209379946	3.86104222829589	3.87668392117905	3.89073850976769	3.86192559709003	3.77485029964155	4.08761558910934	3.94468043998373
24237	2.55819415026373	2.75879564783441	2.574077281269	2.74288148220379	2.53769862349234	2.55991024421076	2.69465959398998	2.57777442917728	2.58513080532502	2.58164771042385	2.43041374473787	3.25925440615094	2.58034812300668
24239	7.93872891964558	7.93941201654546	7.97998901527076	7.86492309307273	7.9622169982886	7.99076742262743	7.7863947756066	7.72552134140722	7.40067710332259	7.70335822161043	7.83803656005562	7.21488200207481	7.34586825423376
24240	5.76469381322178	5.72858312544707	5.87072843017486	5.95161227156215	6.01571387536644	6.01274966942643	5.75861898531139	5.9092330723027	5.77941338600466	5.85075317574877	5.68981072330189	5.85752075175285	5.82881561307785
24241	3.38648632655699	3.67506692009719	3.38482990408648	3.57741674258164	3.35212242783512	3.37063208064349	3.53875376545236	3.36449072395227	3.343955894916	3.329097756746	3.40230151135139	3.38850091623409	3.29273022348485
24242	10.8483712552963	10.3530699826607	10.7674318976991	10.7480468951503	10.5711686224551	10.6916045345991	10.815583433851	10.8974630558587	10.8364317612036	10.7068439151306	10.9332701764167	11.0716232489432	10.8263337088818
24244	7.97634358543205	7.30686645685287	8.20334555565785	7.92019800677058	7.45559025183124	7.89055917084008	7.93892970844948	7.85260441212384	7.6923330370698	7.48222592209068	7.65900403308359	7.96702158628065	7.7515440590891
24245	3.22450185043289	3.17308264846055	3.00602148833072	3.240753177739	3.15521897071474	3.19004509649766	3.71836162613835	3.74880469093707	3.86254561721297	4.22687840419627	3.88087160427039	4.05430150335943	3.60520984408114
24246	9.17499678381559	9.46078093195716	9.08802480824894	9.19200619524809	9.24377920119085	9.34820430035394	9.16707380661587	9.16319995968701	8.99915356789965	9.12998567015296	8.83428591594502	8.34090159950771	8.95514977373968
24247	2.3527218075892	2.65036018027264	2.35400918463742	2.4053280226092	2.34388816687918	2.3634486535419	2.51831859258559	2.2296002271235	2.34743038429223	2.34070752814397	2.274735771483	2.56730692571071	2.35444651842914
24248	11.4831154166159	11.1523799201297	11.4710502498564	11.5213157983385	11.5310256168446	11.4477238224526	11.4832565238072	11.4148807526553	11.3924086617675	11.7132404335945	11.536538639796	11.3720705975294	11.309391085657
24249	2.85448643917648	3.12845178518368	2.81970292219393	2.99560210051551	2.85615507966367	2.84264702404347	2.77682199770595	2.83704909926702	2.79994727736086	2.8112202839615	2.73210635791418	2.83894168519037	2.83448672518363
24250	2.80629105755493	3.0840353425461	2.87946464356559	2.67973905761675	2.93715038747572	2.9851706858031	2.9516101735715	3.00773551376803	3.05994877884068	2.96590615839127	3.19571767458042	2.97473854315666	3.27808885555659
24251	8.60767060167559	8.91238041212614	7.80430529596382	8.1432913684112	8.11646872946732	8.32002428520159	8.6428531681309	8.56187979656388	9.09877956335936	9.07669269557184	8.8016307665084	10.017128541578	10.0428221464933
24252	3.74274311256957	3.80744292377107	3.69254994693207	3.76401359873169	3.64035901670911	3.6011000634069	3.96031375225474	3.82206808961158	4.09265736427416	3.60794857213878	3.81503124167685	4.0359018656559	3.48482953084542
24253	8.29756745158807	6.71742967027234	7.67415695082134	7.67049338355314	6.80983885520159	7.51654313477261	7.99425159596743	7.90836860067717	7.84892334022378	6.89045885290378	7.64633549365442	8.45252954467793	7.53071064635004
24254	3.23186552060275	3.43568192744855	2.94744922198424	3.34397626006754	3.49621945118269	3.31546479178615	3.27821526262644	3.36921519412574	3.31057279459715	3.45227913513478	3.25274565352443	3.40660469458413	3.63260558053648
24255	2.60892512663927	2.82328061204786	2.59624105105618	2.84245594859731	2.62422725654293	2.61815641493478	2.51387473939544	2.6046288365489	2.61079217626441	2.89590943395196	2.53499038703871	2.60898188273577	2.60745815306136
24256	2.63249274652871	3.29717453854956	2.59523629316718	3.02557989088917	2.62301583275291	2.61845715800376	2.5767966229341	2.60904809535979	2.63873419700812	2.60809008101309	2.51074803021073	2.67637687017932	2.61875431515769
24257	2.5457666082598	3.0164761139418	2.57034148693818	2.73514304094813	2.80002599610746	2.56540707851107	2.56726067709819	2.53725878766757	2.56780907396534	2.54157348440859	2.51530455402014	2.63850407082123	2.60202209624904
24258	2.59910589718294	2.76022733476989	2.5722251482736	2.88421497480401	2.57310060168644	2.59462737013946	2.50642676093935	2.57998383562225	2.56590420327502	2.57941430151208	2.44591205974779	2.58571491039769	2.58283777068837
