Gene	TFA2a	TFA2b	TFA2c	TFA2d	TFA2e	TFA3a	TFA3b	TFA3c	TFA3d	TFA3e	TFA4a	TFA4b	TFA4c	TFA4d	TFA4e	TMA2a	TMA2b	TMA2c	TMA2d	TMA2e	TMA3a	TMA3b	TMA3c	TMA3d	TMA3e	TMA4a	TMA4b	TMA4c	TMA4d	TMA4e
11566 -0.3081493 -0.6748389 -0.694526 -0.5537216 -0.66326 -0.6429489 -0.3726594 -0.7949849 -0.3757701 -0.5955418 -0.5819435 -0.2473447 -0.5808176 -0.5794604 -0.4073704 -0.7047975 -1.019608 -0.3685097 -0.3174939 -0.9675091 -0.7875964 -0.7562413 -0.9650906 -0.2675218 -0.259162 -0.5129306 -0.5696076 -0.4930191 -0.4389596 -0.5791613
11568 -1.0558211 -1.1373654 -1.0495988 -1.021736 -0.984059 -1.0464681 -0.8366666 -1.2607601 -1.3211168 -0.9086637 -0.8694055 -1.1983645 -0.7586365 -0.9116454 -1.2049234 -0.8222825 -1.380303 -0.7805825 -0.9432476 -0.7662752 -0.8414257 -1.130554 -1.229131 -0.8138856 -0.9715257 -1.2213828 -1.2143592 -0.8804971 -1.0414382 -0.720844
11569 -0.201735473 -0.13912887 -0.241431153 -0.27150959 -0.152005743 -0.297523267 -0.277929843 -0.27619587 -0.431726877 -0.152779193 -0.396146947 -0.285342797 -0.077364227 -0.116645093 -0.258936453 -0.21512643 -0.173681397 -0.308236883 -0.21784488 -0.01178492 -0.093662823 -0.25653783 -0.448516117 -0.288668837 -0.177531053 -0.112882713 -0.281931193 -0.27402928 -0.40413999 -0.169928727
11593 -0.3650686 -0.0467023 -0.1385032 -0.3359751 -0.1515821 -0.2406847 -0.4150427 -0.1691908 -0.0251453 -0.2321691 -0.1369158 -0.2814937 -0.5962963 -0.1381786 -0.3628474 -0.64415 -0.3885516 -0.1878517 -0.1994926 -0.5432034 -0.5329048 -0.0979064 -0.3829082 -0.2818469 0.01492427 -0.1328544 -0.2595033 -0.4924259 -0.4483165 -0.7601931
11602 0.59220649 1.70265409 1.79276396 1.16082705 0.99108776 2.08848274 1.29980623 1.41141126 1.47823212 1.07571947 2.04473614 1.53781788 0.56683056 1.16473959 1.20414305 1.67469819 1.78309256 1.42026871 1.31410625 0.99373946 0.65323783 2.02516955 1.80035516 1.32541524 1.46639752 1.40006706 1.56180691 1.01171344 1.26125584 0.60743265
11603 0.31512587 0.47869181 0.45673163 0.42960882 0.47568735 0.39127603 0.30797395 0.39668786 0.79343341 0.47008732 -0.2239254 0.55128652 -0.1475041 0.20894529 0.36366537 0.35035998 0.27381482 0.61054941 0.48102571 0.22088727 0.03416053 0.5171586 0.43332224 0.04266743 0.42202635 0.41050226 0.35932121 0.15762377 -0.2925831 0.02952461
11605 -0.6916004 -0.8283385 -0.6282191 -0.7398838 -1.0220445 -0.73572 -0.6636783 -0.9324496 -0.8776724 -0.6463307 -0.9942257 -0.7996579 -0.4387408 -0.6932801 -0.7861655 -0.5859387 -0.7960324 -0.5625539 -0.6202726 -0.332183 -0.7269932 -0.7634728 -0.7266414 -0.709616 -0.6767783 -0.9247593 -0.8088144 -0.705209 -0.7469729 -0.2039863
11606 0.34986382 0.81549884 0.9003415 0.74924397 0.72880749 0.73658429 0.59098207 0.62014021 0.88839465 0.734978 0.794087 0.83950784 -0.0239562 0.53972605 0.59619236 0.65873859 0.33591054 0.96513256 0.85652895 0.34915355 -0.0076359 0.77088537 0.52647124 0.2164373 -0.4582915 0.64232764 0.63547662 0.02941417 0.50720804 0.05438457
11609 0.60888955 0.5525813 0.80428634 0.82742704 0.56809962 0.54089171 0.69886142 0.64878296 1.05036849 0.62875 0.61947057 0.54852486 0.2922009 0.71645815 0.78670063 0.53953812 0.53589376 0.74864326 0.73091048 0.06111815 0.42501982 0.63680569 0.62390103 0.63997058 0.8472284 1.18907537 0.55948099 0.67164919 0.74629911 0.27022098
11610 1.364059065 1.228020455 1.12518399 1.11699146 1.37357711 1.32928597 1.270903795 1.435116945 0.958889695 1.28399546 1.070437905 1.35179752 1.3780035 1.26543366 1.231383255 1.113964315 1.129989935 1.262236125 1.24754185 1.340593895 1.28950241 1.303233235 1.300063635 1.224417115 1.38400081 1.010650405 1.23385497 1.30645843 1.133941325 1.439261045
11630 0.068695345 -0.208787455 -0.26709833 -0.38139665 -0.157566965 -0.378266905 -0.207096205 -0.184852015 -0.608169715 -0.14029189 -0.28984709 -0.19129559 -0.044747085 -0.233140295 -0.1988888 -0.2961822 -0.234697425 -0.199677165 -0.277757545 -0.08117001 0.005334235 -0.360004325 -0.200950985 -0.09376474 -1.0138046 -0.299863635 -0.329079095 -0.17395208 0.098031685 -0.03766447
11632 -0.3005211 -0.1799102 0.04595595 -0.016448 -0.0897562 0.08971225 -0.2900991 -0.3715051 0.24526638 -0.044212 0.04050719 -0.0839875 -0.5601053 -0.0720676 -0.3590823 -0.0822962 -0.3934732 -0.0249435 0.15341166 -0.3729133 -0.2949272 -0.1382213 -0.0863188 -0.2228642 -0.5932445 -0.070004 -0.1173493 -0.3290845 -0.1293783 -0.434643
11637 -0.249704495 0.230320055 0.32861704 -0.00129517 -0.186461325 0.402923745 0.09503534 0.13924219 0.286042305 -0.019410825 0.569208335 0.166367925 -0.194826445 0.016954385 -0.13294721 0.225874885 0.40215586 0.013496875 -0.06316989 -0.225776965 -0.216667455 0.33800295 0.51180103 -0.022061395 0.55520524 0.0568486 0.121594235 0.191401125 -0.02343701 -0.12204266
