Gene	LuFA2a	LuFA2b	LuFA2c	LuFA2d	LuFA2e	LuFA3a	LuFA3b	LuFA3c	LuFA3d	LuFA3e	LuFA4a	LuFA4b	LuFA4c	LuFA4d	LuFA4e	LuMA2a	LuMA2b	LuMA2c	LuMA2d	LuMA2e	LuMA3a	LuMA3b	LuMA3c	LuMA3d	LuMA3e	LuMA4a	LuMA4b	LuMA4c	LuMA4d	LuMA4e
11609 1.32327251 0.76776584 1.22374836 0.78924824 1.06082776 1.12518557 1.19130038 1.30825388 1.17726152 1.08615978 0.60731131 0.93220814 1.07207038 0.82485091 0.90876592 1.39110484 1.47419523 1.0439576 1.11260495 0.8013543 1.56118977 1.18574321 1.11807741 0.80644967 1.34365452 0.88279826 1.10496862 1.29610904 0.88899927 1.2623858
11610 1.34418095 1.35306513 1.221956495 1.297417435 1.064349545 1.15650193 1.09288693 1.1924288 1.130884585 1.020442995 1.466160535 1.31280232 1.104172285 1.38659007 1.203036415 1.279175695 0.927689295 1.18076467 1.18215464 1.344741745 0.95455318 1.089034015 1.280790275 1.43812859 1.189941715 1.3236092 1.180196795 1.26808243 1.36898845 1.2403685
11630 -0.98016145 -1.02164185 -0.50134975 -0.562589 -0.7280725 -0.69618165 -0.90081815 -0.88987815 -0.58022795 -0.42998695 -1.0669246 -0.75108045 -0.43533575 -0.369819925 -0.7609757 -0.8628497 -0.72601755 -0.58711935 -0.47476255 -0.84052025 -0.51166205 -0.7355182 -0.87403805 -0.6200565 -0.64225555 -0.3484833 -0.57823815 -1.13663135 -0.87999125 -0.45631705
11632 0.62482998 0.45733799 0.50443286 0.44363263 0.52724624 0.63717498 0.45182669 0.56376455 0.70515853 0.4695227 -0.1094872 0.39236845 0.49663213 0.44126024 0.40852963 0.80401209 0.96763322 0.53692712 0.51335696 0.34595654 1.02940312 0.61469377 0.50634731 0.41782472 0.62696822 0.41932863 0.43832228 0.69353807 0.27657368 0.601703
11637 -0.40057375 0.026240635 -0.045260695 0.08813723 0.14624697 0.08042384 -0.05488831 -0.284668255 0.2856378 -0.125465565 0.26520723 -0.166760665 -0.29772522 0.06615585 -0.25186549 -0.057133065 0.1107415 0.236604265 0.337263095 -0.059567545 0.05808051 0.159127115 -0.042569935 -0.01633064 0.008286395 -0.09304446 0.10888131 -0.34036473 -0.161482575 0.20299885
11639 0.59904919 0.37863127 0.599770627 0.60722529 0.56968767 0.556685687 0.418193443 0.483314587 0.600182923 0.69405851 0.38605122 0.4575024 0.62074273 0.540101833 0.579766583 0.55083248 0.659127547 0.603447007 0.565359193 0.502334927 0.628405103 0.6215051 0.509121437 0.527524303 0.57346474 0.59890272 0.567446093 0.61981325 0.424329073 0.43724222
11640 -0.3947704 -0.4056488 0.13448427 -0.1655549 0.09569115 0.0712198 0.04848695 -0.0412859 0.07177786 -0.133797 0.15756343 -0.3846578 -0.0947867 -0.4299825 -0.1290535 0.07799189 -0.3217259 -0.0204998 0.17011346 -0.3313095 -0.1956571 0.3553572 -0.2175593 -0.4968935 0.1226285 -0.349318 -0.0122312 -0.1933675 0.20524136 0.2309557
11647 -0.1289376 0.13803372 0.09989852 0.07741127 0.0287469 0.10113422 0.05555093 0.16698962 0.15255121 0.22640091 0.15731859 -0.2897182 0.15636822 0.04964241 0.19611738 -0.0190348 0.02505216 0.11314387 -0.0041006 -0.1724081 0.30947958 0.03045097 0.18176776 0.25427655 -0.0089108 0.04103062 -0.1364675 0.43529774 0.065217 -0.0046886
11650 0.95400473 0.40014002 0.43233867 -0.0410218 0.30314556 0.38502821 0.94773682 0.93106929 0.60552777 0.0199496 0.07993675 -0.0237875 0.19205014 0.13866191 0.36521277 1.33557596 1.11410983 0.20309937 0.41041129 0.04122292 1.29951246 0.74366333 0.44137315 -0.0536554 0.7008132 -0.1875411 0.22802799 0.7338493 0.30922279 0.77596249
11651 0.99462406 1.25437403 1.21167142 1.48181621 1.34446752 1.35635071 1.13969944 1.04580042 1.38324341 1.37386529 1.19989745 1.06957162 1.30253513 1.23418388 1.14032695 0.97131897 1.37647871 1.43807616 1.33883395 1.27132762 1.46705085 1.34658494 1.16022069 1.24179702 1.33371475 1.31399283 1.29488584 1.2596036 1.15639214 1.10657073
11655 0.76784678 0.59540674 0.50276631 0.6324924 0.558808 0.61877224 0.74254745 0.87855345 0.5097198 0.60962184 0.39929076 0.53878679 0.66854859 0.53860546 0.73430985 0.55107582 0.57683961 0.52634343 0.16634084 0.65651686 0.44557495 0.55234085 0.68161581 0.64115313 0.55283669 0.69502686 0.59554618 0.96008243 0.72150856 0.46383956
11656 -1.1053189 -1.2659026 -1.206429 -1.313813 -1.2857746 -1.0204974 -1.1622961 -1.2352962 -0.9741515 -1.251575 -1.3423255 -1.3507496 -1.1168792 -1.3242599 -1.3002426 -0.7147079 -0.5066635 -1.1753005 -0.9723046 -1.4613251 -0.8072309 -0.9513244 -1.1088202 -1.1531326 -1.1267326 -0.8311407 -1.026922 -1.1250211 -1.2009243 -0.9075794
11657 0.36890621 0.76456555 0.90837306 0.5977156 0.98457845 0.79041176 1.01870319 1.04377281 0.90728691 0.56918855 1.06168523 0.80552551 0.512544 0.91324514 0.58313888 1.05618785 0.60293567 0.83427225 1.34779847 0.37568566 0.85459955 0.99849631 1.16427781 1.13478312 0.74879192 0.49705012 0.42406871 0.75336637 0.67269249 1.20564341
11658 0.043799988 0.169338045 -0.029680575 0.164971058 -0.02176341 -0.024586538 0.131295855 0.017121328 -0.002845512 0.160257613 -0.01234145 0.0301226 -0.126803713 0.096403225 0.0985128 0.20204894 0.006092883 -0.023561308 -0.20192605 0.04557834 -0.024261845 -0.16491716 0.189776895 0.248706473 0.01506328 0.06872804 -0.17917133 0.162612258 0.183476383 -0.099565595
11668 0.370923595 0.334518775 0.474592285 0.61009361 0.55832871 0.47104851 0.35014811 0.413643255 0.50252011 0.42472721 0.55328991 0.48353841 0.465206325 0.51491661 0.51147091 0.318009575 0.321570485 0.536116745 0.645317805 0.588423255 0.29776136 0.52902651 0.47328918 0.5080384 0.466153905 0.519049685 0.542151765 0.379567015 0.481190715 0.398869725
11669 -0.6967814 -0.6665126 -0.6126667 -0.9019167 -0.706094 -0.6048076 -0.5147107 -0.5919501 -0.6060493 -0.8758032 -0.1648587 -0.8094295 -0.6203023 -0.7979868 -0.6513464 -0.6731588 -0.6644804 -0.6074886 -0.5255493 -0.9602452 -0.8687111 -0.4314937 -0.8590024 -0.9027279 -0.5595719 -0.9128321 -0.5451725 -0.6144329 -0.6625462 -0.6055885
11676 1.46561229 1.19495166 1.37468601 1.39148994 1.01509113 0.80112875 1.30833248 1.43051396 0.93994054 1.4470865 1.25375055 0.59004411 1.13187876 1.50170441 1.16325137 1.17982544 0.85557193 1.16111659 1.24839418 1.2812823 0.99245344 0.94467017 1.50411438 1.50791438 1.28955191 1.1613022 0.80867245 1.38185732 1.27652388 1.19548206
11684 0.63744103 0.1734775 0.14272152 0.02178406 -0.1742445 -0.0482808 0.35792833 0.34744684 0.38267064 -0.3336332 -0.029606 -0.4555727 -0.3393667 -0.100327 -0.1352116 0.69323719 0.47045858 0.26254931 0.49091874 -0.127104 0.88620159 0.14739017 0.17526728 -0.0492333 0.2769711 -0.5578358 -0.3180644 0.49755811 -0.2943344 0.50426923
11685 -0.0893446 0.21554336 0.03857326 0.14530214 0.00606091 0.15246741 0.15644228 0.21919133 0.18045673 0.12373269 -0.3073771 0.06762943 0.05421693 -0.0991713 0.18333119 -0.2368689 0.33538503 0.3588819 -0.141256 -0.0400387 0.20098688 0.16685882 0.05750894 0.03312688 -0.0218855 0.19131876 0.13944344 0.20624625 0.07304761 -0.010923
11690 0.53977465 0.12504748 0.32760418 -0.1670096 0.24522566 0.5446446 0.58478148 0.48367946 0.26209872 0.06693484 -0.5207738 0.18090202 0.40917164 -0.152888 0.24763358 0.76849199 0.88485172 0.32224729 0.30383627 0.07734006 0.80947187 0.54964548 0.27443701 0.01207739 0.49565535 0.23547892 0.32174877 0.51812384 0.09531434 0.41956866
11692 1.27126838 0.92196086 1.06809224 0.72027879 0.98764156 1.01595813 1.14742139 1.09425985 1.16048612 0.73752231 0.59048617 0.74951963 0.89934342 0.73471349 0.64566855 1.47892026 1.42213115 0.93508409 1.20384061 0.64539347 1.59994869 1.01713808 0.93584866 0.76332688 1.14974189 0.52899739 0.89136154 1.12647215 0.60490668 1.1653966
